City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Souillac,0,FR,1561598277,69,45.6,-0.6,303.15,3.1
Busselton,26,AU,1561597851,45,-33.64,115.35,287.04,14.08
Kavieng,89,PG,1561598335,72,-2.57,150.8,302.116,3.69
Belmonte,0,PT,1561598289,69,40.36,-7.35,289.82,0.71
Svetlogorsk,20,RU,1561598347,93,53.14,59.15,280.15,1.0
Hasaki,75,JP,1561598028,74,35.73,140.83,300.93,5.7
Port Alfred,83,ZA,1561598081,90,-33.59,26.89,286.48,4.4
Klaksvik,24,FO,1561598273,100,62.23,-6.59,282.15,2.1
Grand Gaube,75,MU,1561598268,88,-20.01,57.66,297.15,5.1
Vardo,1,US,1561598083,54,39.62,-77.74,301.48,1.5
Peniche,40,PT,1561598319,93,39.36,-9.38,289.82,1.0
Sweetwater,1,US,1561598347,51,32.47,-100.41,303.15,5.1
Bud,100,NO,1561598347,93,62.91,6.91,283.15,2.6
Saint-Philippe,75,CA,1561597846,69,45.36,-73.48,297.15,2.6
Omboue,52,GA,1561598228,79,-1.57,9.26,297.016,4.93
Pital,16,CO,1561598348,96,2.27,-75.81,287.816,1.1
Punta Arenas,0,CL,1561598087,74,-53.16,-70.91,271.15,3.6
Bredasdorp,0,ZA,1561598348,87,-34.53,20.04,282.04,1.5
Nakhon Phanom,99,LA,1561598348,85,17.4,104.79,299.516,2.71
Albany,40,US,1561597847,78,42.65,-73.75,297.15,2.1
Bilma,26,NE,1561598316,21,18.69,12.92,304.716,1.25
Lleida,0,ES,1561598348,36,41.61,0.63,298.15,6.7
Georgetown,40,GY,1561598281,78,6.8,-58.16,300.15,5.1
Rikitea,53,PF,1561598348,80,-23.12,-134.97,296.716,4.65
Hobart,0,AU,1561598265,76,-42.88,147.33,287.04,5.7
Mersing,68,MY,1561598284,80,2.43,103.84,297.916,1.11
Vaini,75,IN,1561598267,100,15.34,74.49,294.15,1.5
Kruisfontein,23,ZA,1561598270,87,-34.0,24.73,284.916,2.16
New Norfolk,0,AU,1561598093,76,-42.78,147.06,287.04,5.7
Dudinka,0,RU,1561598311,61,69.41,86.18,281.15,3.0
Leningradskiy,56,RU,1561598349,82,69.38,178.42,275.516,5.98
Mahebourg,75,MU,1561598335,88,-20.41,57.7,297.15,5.1
Kavaratti,75,IN,1561598349,77,10.57,72.64,301.416,7.07
Tigil,57,RU,1561598349,52,57.8,158.67,290.016,1.72
